steam_game_id|steam_game_name|is_free|developer|publisher|genre1_id|genre1_name|genre2_id|genre2_name|release_date|required_age|on_windows_pc_platform|on_apple_mac_platform|on_linux_platform
2079240|Cavelon|False|Ocean Software|Pixel Games UK|1|Action|N/A|N/A|2022-08-01|0|True|False|False
2079250|A Very Corporate Escape Room Playtest|False|N/A|N/A|N/A|N/A|N/A|N/A|2022-07-11|0|True|False|False
2080790|Glyph-Bound Playtest|False|N/A|N/A|N/A|N/A|N/A|N/A|2022-08-01|0|True|False|False
2080280|69 Naomi Hot|False|Loolust|Loolust|4|Casual|23|Indie|2022-10-28|0|True|False|True
2079260|Doc the Destroyer|False|Beam Software|Pixel Games UK|1|Action|25|Adventure|2022-08-08|0|True|False|False
2080800|Spirit Hunter: Death Mark II|False|EXPERIENCE|Aksys Games|25|Adventure|N/A|N/A|2024-02-15|0|True|False|False
2080290|69 Ember Hot|False|Loolust|Loolust|4|Casual|23|Indie|2022-10-21|0|True|False|True
2080300|69 Yuuko Hot|False|Loolust|Loolust|4|Casual|23|Indie|2022-09-15|0|True|False|True
2079280|Slingshot Adventure|False|Acará Game Studio|Acará Game Studio|1|Action|25|Adventure|2022-08-22|0|True|False|False
2079800|你与月光同罪-As Guilty As the Moon|False|橙光游戏|橙光游戏|25|Adventure|4|Casual|2022-07-26|0|True|False|False
2080830|SquadBlast Playtest|False|N/A|N/A|N/A|N/A|N/A|N/A|2022-09-20|0|True|False|False
2080340|European Football Dynasty 2023|False|Jandl Software Solutions UG (haftungsbeschränkt)|Jandl Software Solutions UG (haftungsbeschränkt)|28|Simulation|18|Sports|2022-09-21|0|True|False|False
2080880|Farmhand Go!|False|Rainbow Cow|Rainbow Cow|4|Casual|23|Indie|2022-11-07|0|True|False|True
2080380|Retro Invasion|False|CryneX|CryneX|1|Action|23|Indie|2022-08-24|0|True|False|False
2078850|Counter-Stroke: Grand Building|False|0451holyland|0451holyland|25|Adventure|23|Indie|2024-01-01|0|True|False|False
2079370|Bicycle Challenge - Wastelands|False|Hede|Hede|1|Action|25|Adventure|2022-07-26|0|True|True|True
2079380|Old Retro Shooter|False|Hede|Hede|1|Action|25|Adventure|2022-07-23|0|True|True|True
2080930|Whispering Abyss|False|Precipice Games|Marist College|1|Action|25|Adventure|2022-10-28|0|True|False|False
2078370|Tesla Legacy|False|JeraVR|JeraVR|1|Action|25|Adventure|2022-07-22|0|True|False|False
2080420|Vault Circuit|False|Kalvis|Kalvis|4|Casual|23|Indie|2022-08-15|0|True|False|False
2079400|Sleepy Sheep|False|Team Meatpie|Team Meatpie|25|Adventure|23|Indie|2022-09-01|0|True|False|False
2078910|汉尘：腐草为萤|False|兰廷科技 Lanting Technology Co., Ltd.|兰廷科技 Lanting Technology Co., Ltd.|23|Indie|3|RPG||0|True|False|False
2080960|Phijkchu Quest|False|PhijkchuGames|Team Phijkchu|23|Indie|3|RPG|2023-05-10|0|True|False|False
2079430|Garden of Seif: Curse of Gravehollow Peaks|False|Foxdrift Studios|Foxdrift Studios|4|Casual|23|Indie|2023-12-13|0|True|True|False
2080970|Ducky's Delivery Service|False|C.T. Matthews|C.T. Matthews|1|Action|23|Indie|2023-07-20|0|True|False|False
2079950|Filthy us 2|False|Game Logic Studio|Game Logic Studio|25|Adventure|23|Indie|2023-04-28|0|True|False|False
2080470|Turing Quest|False|Kranial|Kranial|4|Casual|23|Indie|2023-04-04|0|True|True|True
2079960|Light|False|individual|individual|25|Adventure|23|Indie|2022-08-19|0|True|False|False
2078430|Top Down Zombies Playtest|False|N/A|N/A|N/A|N/A|N/A|N/A|2022-07-12|0|True|False|False
2080480|Harpoon|False|Laush Dmitriy Sergeevich|Laush Studio|4|Casual|23|Indie|2022-07-23|0|True|False|False
2079460|Hill Dig: The Mysterious Signal|False|Jérémie Sauvé|Quaternium Games|25|Adventure|4|Casual|2023-10-04|0|True|False|False
2080510|Mongrel Games Minigames|False|Mongrel Games|Mongrel Games|1|Action|4|Casual|2023-10-24|0|True|False|False
2080010|They Came From the Sky 2|False|FobTi interactive|FobTi interactive|1|Action|23|Indie|2023-01-11|0|True|False|False
2079500|Colorless World|False|Bazzucco Entertainment|Bazzucco Entertainment|1|Action|25|Adventure|2022-08-30|0|True|False|False
2080020|Home By The River|False|GTGD|GTGD|25|Adventure|23|Indie|2023-02-15|0|True|True|False
2079000|Totally Ratical Adventures|False|Dollopop|Dollopop|25|Adventure|N/A|N/A|2022-09-07|0|True|False|False
2079520|PornBeat Hardcore: Hot Explicit Sex|False|the NineLust Studios|Orgipix Studios|1|Action|25|Adventure|2022-10-07|0|True|False|False
2079530|Lewis Carroll's Alice|False|Revie Studios|Revie Studios|25|Adventure|4|Casual|2022-08-02|0|True|False|False
2079020|Sippin Hot Blickety Block N Bop Those Bad Battle Boys Down To Size Supreme|False|Sippin Hot|Sippin Hot|1|Action|4|Casual|2022-08-30|0|True|False|False
2080560|Fly Tales|False|Pip Plop Studios|N/A|25|Adventure|4|Casual|2022-08-19|0|True|False|False
2080050|洪荒五行界 Playtest|False|N/A|N/A|N/A|N/A|N/A|N/A|2022-07-20|0|True|False|False
2081080|Capes|False|Spitfire Interactive|Daedalic Entertainment|23|Indie|2|Strategy|2024-05-29|0|True|True|True
2080570|NoAmmo|False|N/A|N/A|1|Action|25|Adventure|2022-08-04|0|True|False|False
2080060|Better Off Dead - Life as a Prison Guard|False|W0nnaFight|W0nnaFight|1|Action|25|Adventure|2022-09-09|0|True|False|False
2081090|4 The Elements|False|Mito Games|Mito Games|1|Action|25|Adventure|2023-08-25|0|True|False|False
2080580|Hell Madness|False|Balti Calarasi|HandMade Games|25|Adventure|4|Casual|2022-07-22|0|True|False|False
2080070|Avocado Puzzle Quest|False|Dnovel|Studio2760|1|Action|25|Adventure|2022-07-26|0|True|False|False
2080100|Ruadh: Warbands|False|Sorcerers Lab|Sorcerers Lab|23|Indie|2|Strategy|2022-12-16|0|True|False|False
2079080|Frogs vs. Storks|False|Cateia Games|Cateia Games|4|Casual|23|Indie|2023-08-04|0|True|True|True
2079600|MOVAFORT|False|The Random Generator Expert|The Random Generator Expert|1|Action|25|Adventure|2023-09-14|0|True|False|False
2079610|Wand Out - A 3D Magical Gay Novel|False|Male Doll|Male Doll|4|Casual|28|Simulation|2023-08-23|0|True|False|False
2080640|First Date : Late To Date|False|Digital Fossil|Digital Fossil|25|Adventure|4|Casual|2022-08-19|0|True|False|False
2080130|A Quest That Became Legend|False|Neon Light Studio|Neon Light Studio|1|Action|25|Adventure|2023-10-13|0|True|False|False
2079110|Agent1218|False|Dark Brew Gaming PTY LTD|Dark Brew Gaming PTY LTD|1|Action|25|Adventure|2022-07-28|0|True|False|False
2080140|Savage Age|False|HiddenBlade Studio|indienova|25|Adventure|23|Indie|2024-04-03|0|True|False|False
2079630|Conrad Stevenson's Paranormal P.I. Playtest|False|N/A|N/A|N/A|N/A|N/A|N/A|2022-07-06|0|True|False|False
2080660|Bright Garden|False|Blessing Company|Blessing Company|1|Action|25|Adventure|2022-08-11|0|True|False|False
2079130|NUDOMATIC|False|ULTRACORP|ULTRACORP|4|Casual|23|Indie|2024-01-14|18|True|False|True
2080670|Dark Lady|False|Blessing Company|Blessing Company|1|Action|25|Adventure|2022-07-27|0|True|False|False
2080160|Cosmic Cruiser|False|Imagine|Pixel Games UK|1|Action|N/A|N/A|2022-08-04|0|True|False|False
2079160|Lust Dungeon|False|Cute Pen Games|Cute Pen Games|4|Casual|N/A|N/A|2022-07-25|0|True|False|False
2079680|Evolution Tale|False|X Woomy Games|Abel Reyes|25|Adventure|4|Casual|2023-03-02|0|True|False|False
2079180|VIDEOVERSE|False|Kinmoku|Kinmoku|25|Adventure|4|Casual|2023-08-07|0|True|True|True
2079710|Fantôme|False|Gloac Games|Gloac|1|Action|23|Indie|2024-01-18|0|True|False|True
2080740|HotRobot Playtest|False|N/A|N/A|N/A|N/A|N/A|N/A|2022-07-13|0|True|False|False
2080240|Summer Pleasure|False|Deep Games| Deep Games|25|Adventure|23|Indie|2022-08-05|0|True|False|False
2080250|Tower of Chaos|False|Laughing Fox Games|Laughing Fox Games|1|Action|2|Strategy|2023-07-25|0|True|False|False
2079740|Warudo Playtest|False|N/A|N/A|N/A|N/A|N/A|N/A|2022-07-07|0|True|False|False
